,total
974,330148.0575309838
975,329316.8211165489
976,329316.8211165489
977,329316.8211165489
978,329316.8211165489
979,329316.8211165489
980,329316.8211165489
981,329316.8211165489
982,329316.8211165489
983,329316.8211165489
984,329316.8211165489
985,329316.8211165489
986,329316.8211165489
987,329316.8211165489
988,329316.8211165489
989,329316.8211165489
990,329316.8211165489
991,329316.8211165489
992,329316.8211165489
993,330148.0575309838
994,329316.8211165489
995,329316.8211165489
996,329316.8211165489
997,329647.7505323401
998,329316.8211165489
999,329316.8211165489
